District,Land_Type,Date,Price_Change
Seoul,Dwelling,2021-02-01,0.414
Seoul,Dwelling,2021-03-01,0.432
Seoul,Dwelling,2021-04-01,0.441
Seoul,Dwelling,2021-05-01,0.431
Seoul,Dwelling,2021-06-01,0.449
Seoul,Dwelling,2021-07-01,0.43
Seoul,Dwelling,2021-08-01,0.434
Seoul,Dwelling,2021-09-01,0.439
Seoul,Dwelling,2021-10-01,0.426
Seoul,Dwelling,2021-11-01,0.419
Seoul,Dwelling,2021-12-01,0.409
Seoul,Dwelling,2022-01-01,0.368
Seoul,Dwelling,2022-02-01,0.349
Seoul,Dwelling,2022-03-01,0.358
Seoul,Dwelling,2022-04-01,0.382
Seoul,Dwelling,2022-05-01,0.4
Seoul,Dwelling,2022-06-01,0.402
Seoul,Dwelling,2022-07-01,0.372
Seoul,Dwelling,2022-08-01,0.332
Seoul,Dwelling,2022-09-01,0.159
Seoul,Dwelling,2022-10-01,-0.058
Seoul,Dwelling,2022-11-01,-0.12
Seoul,Dwelling,2022-12-01,-0.119
Seoul,Dwelling,2023-01-01,-0.086
Seoul,Dwelling,2023-02-01,-0.058
Seoul,Dwelling,2023-03-01,-0.017
Seoul,Dwelling,2023-04-01,-0.008
Seoul,Dwelling,2023-05-01,0.045
Seoul,Dwelling,2023-06-01,0.058
Seoul,Dwelling,2023-07-01,0.09
Seoul,Dwelling,2023-08-01,0.142
Seoul,Dwelling,2023-09-01,0.192
Seoul,Dwelling,2023-10-01,0.255
Seoul,Dwelling,2023-11-01,0.229
Seoul,Dwelling,2023-12-01,0.195
Seoul,Dwelling,2024-01-01,0.151
Seoul,Dwelling,2024-02-01,0.155
Seoul,Dwelling,2024-03-01,0.214
Seoul,Dwelling,2024-04-01,0.231
Seoul,Dwelling,2024-05-01,0.235
Seoul,Dwelling,2024-06-01,0.27
Seoul,Dwelling,2024-07-01,0.283
Seoul,Dwelling,2024-08-01,0.275
Seoul,Dwelling,2024-09-01,0.298
Seoul,Dwelling,2024-10-01,0.304
Seoul,Dwelling,2024-11-01,0.293
Seoul,Dwelling,2024-12-01,0.275
Seoul,Dwelling,2025-01-01,0.243
Seoul,Dwelling,2025-02-01,0.25
Seoul,Dwelling,2025-03-01,0.292
Seoul,Dwelling,2025-04-01,0.288
Seoul,Dwelling,2025-05-01,0.297
Seoul,Dwelling,2025-06-01,0.327
