District,Date,Population_0-5,Population_13-18,Population_19-64,Population_6-12,Population_65+,Population_Total,Population_Female_0-5,Population_Female_13-18,Population_Female_19-64,Population_Female_6-12,Population_Female_65+,Population_Female_Total,Population_Male_0-5,Population_Male_13-18,Population_Male_19-64,Population_Male_6-12,Population_Male_65+,Population_Male_Total
Dobong,2008-01-01,18827,31533,260968,31706,32913,375947,9179,14997,131244,15205,18822,189447,9648,16536,129724,16501,14091,186500
Dobong,2008-02-01,18767,31343,261079,31531,33202,375922,9130,14911,131219,15149,18978,189387,9637,16432,129860,16382,14224,186535
Dobong,2008-03-01,18647,31382,260889,31332,33455,375705,9065,14897,131122,15068,19122,189274,9582,16485,129767,16264,14333,186431
Dobong,2008-04-01,18612,31405,261042,31244,33596,375899,9061,14949,131172,15004,19209,189395,9551,16456,129870,16240,14387,186504
Dobong,2008-05-01,18573,31373,260974,31207,33719,375846,9006,14942,131165,15012,19280,189405,9567,16431,129809,16195,14439,186441
Dobong,2008-06-01,18564,31375,260762,31031,33800,375532,8990,14957,131047,14931,19304,189229,9574,16418,129715,16100,14496,186303
Dobong,2008-07-01,18471,31375,260539,30898,33943,375226,8948,14970,130927,14855,19408,189108,9523,16405,129612,16043,14535,186118
Dobong,2008-08-01,18394,31373,260528,30668,34036,374999,8916,14944,130897,14732,19455,188944,9478,16429,129631,15936,14581,186055
Dobong,2008-09-01,18370,31375,260249,30468,34180,374642,8922,14941,130766,14643,19553,188825,9448,16434,129483,15825,14627,185817
Dobong,2008-10-01,18328,31394,260092,30308,34337,374459,8910,14955,130732,14568,19626,188791,9418,16439,129360,15740,14711,185668
Dobong,2008-11-01,18269,31415,259907,30125,34502,374218,8902,14953,130661,14474,19719,188709,9367,16462,129246,15651,14783,185509
Dobong,2008-12-01,18275,31409,259736,29842,34674,373936,8889,14905,130590,14358,19818,188560,9386,16504,129146,15484,14856,185376
Dobong,2009-01-01,18235,31295,259659,29631,34862,373682,8854,14856,130570,14270,19906,188456,9381,16439,129089,15361,14956,185226
Dobong,2009-02-01,18149,30989,259673,29417,35035,373263,8840,14736,130607,14164,19994,188341,9309,16253,129066,15253,15041,184922
Dobong,2009-03-01,18110,31088,259575,29290,35215,373278,8802,14778,130570,14098,20087,188335,9308,16310,129005,15192,15128,184943
Dobong,2009-04-01,18046,31060,259037,29096,35393,372632,8773,14766,130313,14001,20197,188050,9273,16294,128724,15095,15196,184582
Dobong,2009-05-01,17958,31041,259003,28918,35541,372461,8699,14770,130300,13920,20278,187967,9259,16271,128703,14998,15263,184494
Dobong,2009-06-01,17941,30992,258885,28767,35600,372185,8684,14751,130267,13862,20311,187875,9257,16241,128618,14905,15289,184310
Dobong,2009-07-01,17937,30944,259009,28641,35715,372246,8677,14711,130356,13807,20365,187916,9260,16233,128653,14834,15350,184330
Dobong,2009-08-01,17867,30941,258674,28413,35817,371712,8616,14721,130244,13695,20399,187675,9251,16220,128430,14718,15418,184037
Dobong,2009-09-01,17840,30906,258293,28264,35896,371199,8613,14707,130144,13617,20435,187516,9227,16199,128149,14647,15461,183683
Dobong,2009-10-01,17736,30898,258114,28112,35990,370850,8565,14673,130087,13572,20445,187342,9171,16225,128027,14540,15545,183508
Dobong,2009-11-01,17654,30875,257793,27957,36086,370365,8511,14640,129938,13507,20482,187078,9143,16235,127855,14450,15604,183287
Dobong,2009-12-01,17575,30800,257347,27827,36184,369733,8489,14568,129691,13469,20531,186748,9086,16232,127656,14358,15653,182985
Dobong,2010-01-01,17426,30726,257202,27637,36437,369428,8403,14490,129632,13399,20639,186563,9023,16236,127570,14238,15798,182865
Dobong,2010-02-01,17338,30593,257061,27383,36566,368941,8352,14412,129544,13259,20692,186259,8986,16181,127517,14124,15874,182682
Dobong,2010-03-01,17248,30528,256798,27236,36682,368492,8300,14417,129425,13173,20758,186073,8948,16111,127373,14063,15924,182419
Dobong,2010-04-01,17164,30520,256415,27092,36804,367995,8275,14412,129225,13099,20787,185798,8889,16108,127190,13993,16017,182197
Dobong,2010-05-01,17085,30460,255956,26918,36941,367360,8231,14373,128945,13039,20856,185444,8854,16087,127011,13879,16085,181916
Dobong,2010-06-01,17020,30404,255636,26760,37072,366892,8204,14339,128748,12969,20922,185182,8816,16065,126888,13791,16150,181710
Dobong,2010-07-01,16959,30328,255310,26603,37203,366403,8191,14309,128589,12870,20995,184954,8768,16019,126721,13733,16208,181449
Dobong,2010-08-01,16879,30239,254912,26327,37288,365645,8144,14290,128408,12739,21041,184622,8735,15949,126504,13588,16247,181023
Dobong,2010-09-01,16856,30160,254879,26172,37366,365433,8111,14259,128373,12658,21081,184482,8745,15901,126506,13514,16285,180951
Dobong,2010-10-01,16862,30186,257941,26097,38091,369177,8113,14272,129722,12651,21500,186258,8749,15914,128219,13446,16591,182919
Dobong,2010-11-01,16845,30065,257696,25894,38136,368636,8098,14174,129601,12610,21529,186012,8747,15891,128095,13284,16607,182624
Dobong,2010-12-01,16901,29935,257536,25741,38185,368298,8131,14129,129545,12533,21553,185891,8770,15806,127991,13208,16632,182407
Dobong,2011-01-01,16861,29736,257786,25608,38238,368229,8109,14041,129631,12449,21593,185823,8752,15695,128155,13159,16645,182406
Dobong,2011-02-01,16851,29550,257808,25343,38335,367887,8099,13961,129663,12315,21650,185688,8752,15589,128145,13028,16685,182199
Dobong,2011-03-01,16802,29495,257801,25195,38490,367783,8068,13936,129724,12243,21735,185706,8734,15559,128077,12952,16755,182077
Dobong,2011-04-01,16827,29412,257901,25060,38590,367790,8073,13874,129812,12191,21773,185723,8754,15538,128089,12869,16817,182067
Dobong,2011-05-01,16834,29330,257787,24917,38754,367622,8093,13827,129685,12126,21858,185589,8741,15503,128102,12791,16896,182033
Dobong,2011-06-01,16832,29273,257635,24810,38854,367404,8093,13807,129607,12054,21915,185476,8739,15466,128028,12756,16939,181928
Dobong,2011-07-01,16795,29153,257265,24642,39024,366879,8081,13748,129413,11960,22025,185227,8714,15405,127852,12682,16999,181652
Dobong,2011-08-01,16817,29040,257007,24515,39152,366531,8082,13683,129308,11884,22086,185043,8735,15357,127699,12631,17066,181488
Dobong,2011-09-01,16829,28942,256759,24421,39353,366304,8105,13638,129211,11853,22206,185013,8724,15304,127548,12568,17147,181291
Dobong,2011-10-01,16860,28822,256740,24247,39492,366161,8136,13597,129150,11751,22286,184920,8724,15225,127590,12496,17206,181241
Dobong,2011-11-01,16852,28716,256682,24130,39652,366032,8143,13530,129072,11695,22390,184830,8709,15186,127610,12435,17262,181202
Dobong,2011-12-01,16867,28620,256356,23949,39781,365573,8181,13486,128822,11612,22468,184569,8686,15134,127534,12337,17313,181004
Dobong,2012-01-01,16881,28425,256166,23794,40066,365332,8158,13387,128730,11565,22628,184468,8723,15038,127436,12229,17438,180864
Dobong,2012-02-01,16878,28218,255806,23555,40374,364831,8167,13326,128583,11433,22778,184287,8711,14892,127223,12122,17596,180544
Dobong,2012-03-01,16874,28097,255559,23402,40551,364483,8135,13259,128505,11359,22875,184133,8739,14838,127054,12043,17676,180350
Dobong,2012-04-01,16834,28023,255285,23228,40705,364075,8111,13234,128357,11250,22966,183918,8723,14789,126928,11978,17739,180157
Dobong,2012-05-01,16795,27966,255018,23088,40900,363767,8089,13193,128254,11188,23066,183790,8706,14773,126764,11900,17834,179977
Dobong,2012-06-01,16820,27792,254887,23014,41052,363565,8081,13127,128191,11169,23135,183703,8739,14665,126696,11845,17917,179862
Dobong,2012-07-01,16889,27665,254614,22863,41259,363290,8088,13062,128049,11099,23252,183550,8801,14603,126565,11764,18007,179740
Dobong,2012-08-01,16954,27533,254627,22714,41468,363296,8119,13026,128063,11013,23345,183566,8835,14507,126564,11701,18123,179730
Dobong,2012-09-01,16952,27457,254421,22601,41695,363126,8114,13001,127901,10982,23479,183477,8838,14456,126520,11619,18216,179649
Dobong,2012-10-01,16898,27430,254124,22472,41867,362791,8095,12996,127769,10936,23586,183382,8803,14434,126355,11536,18281,179409
Dobong,2012-11-01,16867,27374,254026,22386,42037,362690,8071,12976,127715,10897,23697,183356,8796,14398,126311,11489,18340,179334
Dobong,2012-12-01,16858,27281,253637,22264,42230,362270,8098,12947,127432,10814,23785,183076,8760,14334,126205,11450,18445,179194
Dobong,2013-01-01,16807,27279,253385,22069,42506,362046,8058,12916,127318,10731,23926,182949,8749,14363,126067,11338,18580,179097
Dobong,2013-02-01,16797,27135,253249,21893,42708,361782,8049,12855,127288,10657,24016,182865,8748,14280,125961,11236,18692,178917
Dobong,2013-03-01,16711,27146,253014,21728,42973,361572,7996,12895,127174,10579,24143,182787,8715,14251,125840,11149,18830,178785
Dobong,2013-04-01,16678,27045,252911,21623,43181,361438,7966,12881,127131,10521,24233,182732,8712,14164,125780,11102,18948,178706
Dobong,2013-05-01,16588,26888,252644,21561,43341,361022,7915,12821,127006,10474,24312,182528,8673,14067,125638,11087,19029,178494
Dobong,2013-06-01,16511,26829,252434,21431,43548,360753,7892,12788,126948,10413,24437,182478,8619,14041,125486,11018,19111,178275
Dobong,2013-07-01,16486,26715,252198,21334,43695,360428,7899,12754,126779,10372,24531,182335,8587,13961,125419,10962,19164,178093
Dobong,2013-08-01,16380,26602,251886,21259,43863,359990,7845,12714,126653,10323,24605,182140,8535,13888,125233,10936,19258,177850
Dobong,2013-09-01,16316,26502,251851,21182,43976,359827,7793,12677,126628,10294,24663,182055,8523,13825,125223,10888,19313,177772
Dobong,2013-10-01,16265,26457,251720,21089,44167,359698,7778,12632,126572,10247,24772,182001,8487,13825,125148,10842,19395,177697
Dobong,2013-11-01,16178,26365,251420,20952,44256,359171,7738,12616,126396,10162,24799,181711,8440,13749,125024,10790,19457,177460
Dobong,2013-12-01,16093,26312,250973,20770,44434,358582,7685,12589,126169,10083,24903,181429,8408,13723,124804,10687,19531,177153
Dobong,2014-01-01,15963,26159,250879,20658,44632,358291,7649,12500,126132,10034,25014,181329,8314,13659,124747,10624,19618,176962
Dobong,2014-02-01,15920,26015,250523,20492,44777,357727,7653,12439,125953,9952,25069,181066,8267,13576,124570,10540,19708,176661
Dobong,2014-03-01,15925,25872,250518,20396,45025,357736,7646,12379,125951,9919,25208,181103,8279,13493,124567,10477,19817,176633
Dobong,2014-04-01,15911,25761,250265,20331,45135,357403,7656,12321,125806,9882,25272,180937,8255,13440,124459,10449,19863,176466
Dobong,2014-05-01,15834,25692,249881,20213,45270,356890,7608,12281,125599,9828,25342,180658,8226,13411,124282,10385,19928,176232
Dobong,2014-06-01,15853,25611,249634,20106,45395,356599,7603,12237,125513,9796,25418,180567,8250,13374,124121,10310,19977,176032
Dobong,2014-07-01,15757,25468,249177,19999,45630,356031,7571,12163,125297,9732,25527,180290,8186,13305,123880,10267,20103,175741
Dobong,2014-08-01,15736,25357,248978,19887,45794,355752,7544,12106,125206,9697,25606,180159,8192,13251,123772,10190,20188,175593
Dobong,2014-09-01,15695,25146,248635,19823,45973,355272,7527,12000,124993,9657,25689,179866,8168,13146,123642,10166,20284,175406
Dobong,2014-10-01,15675,25020,248332,19701,46087,354815,7510,11951,124861,9612,25734,179668,8165,13069,123471,10089,20353,175147
Dobong,2014-11-01,15650,24836,248085,19602,46237,354410,7492,11884,124720,9553,25822,179471,8158,12952,123365,10049,20415,174939
Dobong,2014-12-01,15604,24666,247529,19472,46438,353709,7462,11825,124431,9493,25944,179155,8142,12841,123098,9979,20494,174554
Dobong,2015-01-01,15521,24539,247348,19429,46672,353509,7416,11769,124338,9489,26080,179092,8105,12770,123010,9940,20592,174417
Dobong,2015-02-01,15508,24410,247278,19301,46881,353378,7401,11690,124378,9433,26188,179090,8107,12720,122900,9868,20693,174288
Dobong,2015-03-01,15472,24282,247248,19230,47064,353296,7370,11648,124374,9393,26294,179079,8102,12634,122874,9837,20770,174217
Dobong,2015-04-01,15515,24186,247327,19170,47249,353447,7388,11589,124425,9378,26405,179185,8127,12597,122902,9792,20844,174262
Dobong,2015-05-01,15541,24095,247221,19095,47457,353409,7403,11575,124395,9321,26509,179203,8138,12520,122826,9774,20948,174206
Dobong,2015-06-01,15572,23982,247068,19040,47622,353284,7428,11508,124374,9300,26599,179209,8144,12474,122694,9740,21023,174075
Dobong,2015-07-01,15553,23882,246836,18966,47847,353084,7425,11481,124259,9238,26716,179119,8128,12401,122577,9728,21131,173965
Dobong,2015-08-01,15499,23741,246531,18921,47992,352684,7412,11421,124089,9210,26779,178911,8087,12320,122442,9711,21213,173773
Dobong,2015-09-01,15439,23582,246397,18917,48139,352474,7385,11349,124041,9212,26827,178814,8054,12233,122356,9705,21312,173660
Dobong,2015-10-01,15397,23443,246091,18877,48285,352093,7379,11299,123924,9180,26910,178692,8018,12144,122167,9697,21375,173401
Dobong,2015-11-01,15398,23255,245806,18792,48363,351614,7387,11208,123713,9142,26958,178408,8011,12047,122093,9650,21405,173206
Dobong,2015-12-01,15372,23087,245481,18749,48553,351242,7363,11122,123524,9139,27065,178213,8009,11965,121957,9610,21488,173029
Dobong,2016-01-01,15322,22898,245327,18734,48786,351067,7354,11045,123435,9128,27181,178143,7968,11853,121892,9606,21605,172924
Dobong,2016-02-01,15321,22758,245094,18616,48977,350766,7361,10991,123331,9073,27273,178029,7960,11767,121763,9543,21704,172737
Dobong,2016-03-01,15246,22641,244943,18581,49115,350526,7324,10921,123292,9044,27374,177955,7922,11720,121651,9537,21741,172571
Dobong,2016-04-01,15207,22468,244869,18526,49246,350316,7308,10857,123203,9015,27447,177830,7899,11611,121666,9511,21799,172486
Dobong,2016-05-01,15197,22337,244941,18504,49379,350358,7296,10825,123210,8993,27517,177841,7901,11512,121731,9511,21862,172517
Dobong,2016-06-01,15153,22145,244882,18481,49531,350192,7293,10741,123182,8974,27621,177811,7860,11404,121700,9507,21910,172381
Dobong,2016-07-01,15101,22009,244578,18396,49668,349752,7268,10690,123042,8934,27700,177634,7833,11319,121536,9462,21968,172118
Dobong,2016-08-01,15043,21900,244286,18340,49846,349415,7229,10623,122943,8909,27822,177526,7814,11277,121343,9431,22024,171889
Dobong,2016-09-01,14967,21746,244208,18323,49990,349234,7198,10540,122908,8910,27888,177444,7769,11206,121300,9413,22102,171790
Dobong,2016-10-01,14910,21582,244253,18310,50138,349193,7176,10457,122949,8919,27957,177458,7734,11125,121304,9391,22181,171735
Dobong,2016-11-01,14816,21453,244014,18257,50276,348816,7120,10451,122795,8889,28039,177294,7696,11002,121219,9368,22237,171522
Dobong,2016-12-01,14705,21333,243521,18195,50466,348220,7073,10381,122535,8845,28148,176982,7632,10952,120986,9350,22318,171238
Dobong,2017-01-01,14604,21240,243197,18110,50706,347857,7042,10326,122443,8782,28272,176865,7562,10914,120754,9328,22434,170992
Dobong,2017-02-01,14509,21102,242734,18019,50994,347358,7007,10257,122203,8738,28431,176636,7502,10845,120531,9281,22563,170722
Dobong,2017-03-01,14396,20938,242074,17960,51261,346629,6959,10166,121895,8728,28592,176340,7437,10772,120179,9232,22669,170289
Dobong,2017-04-01,14301,20814,241611,17912,51523,346161,6930,10112,121649,8680,28741,176112,7371,10702,119962,9232,22782,170049
Dobong,2017-05-01,14238,20735,241261,17878,51847,345959,6907,10082,121520,8664,28919,176092,7331,10653,119741,9214,22928,169867
Dobong,2017-06-01,14205,20636,241151,17826,52127,345945,6885,10035,121474,8632,29084,176110,7320,10601,119677,9194,23043,169835
Dobong,2017-07-01,14113,20525,241025,17733,52411,345807,6853,9949,121454,8601,29236,176093,7260,10576,119571,9132,23175,169714
Dobong,2017-08-01,13994,20414,240886,17747,52646,345687,6812,9881,121414,8612,29350,176069,7182,10533,119472,9135,23296,169618
Dobong,2017-09-01,13898,20300,240533,17699,52863,345293,6760,9842,121263,8587,29453,175905,7138,10458,119270,9112,23410,169388
Dobong,2017-10-01,13822,20208,240338,17648,53130,345146,6711,9787,121186,8567,29586,175837,7111,10421,119152,9081,23544,169309
Dobong,2017-11-01,13720,20083,240124,17626,53303,344856,6648,9716,121109,8552,29692,175717,7072,10367,119015,9074,23611,169139
Dobong,2017-12-01,13649,19925,239582,17565,53445,344166,6617,9651,120837,8523,29779,175407,7032,10274,118745,9042,23666,168759
Dobong,2018-01-01,13561,19810,239274,17508,53722,343875,6569,9614,120711,8496,29913,175303,6992,10196,118563,9012,23809,168572
Dobong,2018-02-01,13463,19640,238906,17447,53951,343407,6508,9520,120590,8460,30013,175091,6955,10120,118316,8987,23938,168316
Dobong,2018-03-01,13306,19478,238403,17427,54247,342861,6445,9459,120342,8436,30170,174852,6861,10019,118061,8991,24077,168009
Dobong,2018-04-01,13217,19277,238123,17438,54473,342528,6394,9390,120176,8432,30308,174700,6823,9887,117947,9006,24165,167828
Dobong,2018-05-01,13127,19135,237831,17440,54701,342234,6365,9326,120018,8452,30431,174592,6762,9809,117813,8988,24270,167642
Dobong,2018-06-01,12995,19028,237505,17470,54930,341928,6284,9287,119897,8460,30535,174463,6711,9741,117608,9010,24395,167465
Dobong,2018-07-01,12906,18923,237212,17476,55121,341638,6231,9233,119749,8468,30651,174332,6675,9690,117463,9008,24470,167306
Dobong,2018-08-01,12782,18821,236963,17462,55224,341252,6182,9171,119646,8448,30719,174166,6600,9650,117317,9014,24505,167086
Dobong,2018-09-01,12686,18680,236611,17437,55462,340876,6137,9109,119428,8427,30849,173950,6549,9571,117183,9010,24613,166926
Dobong,2018-10-01,12559,18548,236227,17389,55625,340348,6070,9032,119289,8401,30912,173704,6489,9516,116938,8988,24713,166644
Dobong,2018-11-01,12501,18430,235771,17361,55743,339806,6044,8968,119049,8381,30993,173435,6457,9462,116722,8980,24750,166371
Dobong,2018-12-01,12441,18297,235446,17303,55926,339413,6019,8883,118905,8351,31095,173253,6422,9414,116541,8952,24831,166160
Dobong,2019-01-01,12315,18088,235026,17237,56168,338834,5968,8785,118723,8322,31197,172995,6347,9303,116303,8915,24971,165839
Dobong,2019-02-01,12193,17963,234677,17121,56419,338373,5899,8744,118533,8276,31348,172800,6294,9219,116144,8845,25071,165573
Dobong,2019-03-01,12048,17740,234267,17074,56691,337820,5822,8644,118306,8253,31481,172506,6226,9096,115961,8821,25210,165314
Dobong,2019-04-01,11970,17609,233887,17024,56856,337346,5778,8555,118160,8234,31546,172273,6192,9054,115727,8790,25310,165073
Dobong,2019-05-01,11903,17519,233624,16942,57084,337072,5751,8501,118004,8200,31690,172146,6152,9018,115620,8742,25394,164926
Dobong,2019-06-01,11845,17386,233223,16929,57315,336698,5704,8425,117859,8208,31771,171967,6141,8961,115364,8721,25544,164731
Dobong,2019-07-01,11723,17255,232839,16911,57560,336288,5648,8368,117703,8191,31876,171786,6075,8887,115136,8720,25684,164502
Dobong,2019-08-01,11623,17088,232424,16876,57790,335801,5612,8282,117529,8171,31997,171591,6011,8806,114895,8705,25793,164210
Dobong,2019-09-01,11542,16967,231922,16829,58020,335280,5569,8216,117280,8147,32115,171327,5973,8751,114642,8682,25905,163953
Dobong,2019-10-01,11473,16842,231219,16746,58273,334553,5533,8162,116901,8110,32229,170935,5940,8680,114318,8636,26044,163618
Dobong,2019-11-01,11398,16695,230701,16665,58443,333902,5497,8080,116624,8078,32314,170593,5901,8615,114077,8587,26129,163309
Dobong,2019-12-01,11365,16509,230240,16584,58664,333362,5467,7980,116397,8061,32406,170311,5898,8529,113843,8523,26258,163051
Dobong,2020-01-01,11262,16368,229616,16441,59066,332753,5414,7928,116082,8003,32625,170052,5848,8440,113534,8438,26441,162701
Dobong,2020-02-01,11098,16261,228994,16322,59408,332083,5337,7889,115795,7935,32800,169756,5761,8372,113199,8387,26608,162327
Dobong,2020-03-01,10942,16184,227897,16247,59968,331238,5253,7879,115220,7905,33102,169359,5689,8305,112677,8342,26866,161879
Dobong,2020-04-01,10829,16081,227346,16180,60271,330707,5211,7832,114934,7853,33296,169126,5618,8249,112412,8327,26975,161581
Dobong,2020-05-01,10741,15975,226788,16115,60530,330149,5170,7797,114719,7817,33451,168954,5571,8178,112069,8298,27079,161195
Dobong,2020-06-01,10669,15880,226207,16072,60732,329560,5111,7764,114444,7818,33568,168705,5558,8116,111763,8254,27164,160855
Dobong,2020-07-01,10528,15818,225589,16004,60883,328822,5066,7725,114119,7778,33669,168357,5462,8093,111470,8226,27214,160465
Dobong,2020-08-01,10397,15818,224767,15900,61132,328014,5010,7722,113676,7715,33802,167925,5387,8096,111091,8185,27330,160089
Dobong,2020-09-01,10317,15740,224006,15845,61340,327248,4954,7695,113287,7688,33901,167525,5363,8045,110719,8157,27439,159723
Dobong,2020-10-01,10195,15698,223357,15730,61637,326617,4894,7673,112966,7648,34080,167261,5301,8025,110391,8082,27557,159356
Dobong,2020-11-01,10090,15618,222887,15696,61791,326082,4860,7603,112766,7616,34161,167006,5230,8015,110121,8080,27630,159076
Dobong,2020-12-01,9964,15524,222135,15625,62009,325257,4779,7577,112406,7570,34305,166637,5185,7947,109729,8055,27704,158620
Dobong,2021-01-01,9777,15436,221218,15536,62314,324281,4686,7533,111999,7512,34448,166178,5091,7903,109219,8024,27866,158103
Dobong,2021-02-01,9637,15331,220460,15451,62552,323431,4624,7466,111694,7478,34566,165828,5013,7865,108766,7973,27986,157603
Dobong,2021-03-01,9526,15248,219252,15384,62307,321717,4565,7422,111079,7431,34410,164907,4961,7826,108173,7953,27897,156810
Dobong,2021-04-01,9437,15163,218756,15354,62517,321227,4530,7374,110807,7418,34528,164657,4907,7789,107949,7936,27989,156570
Dobong,2021-05-01,9359,15074,218238,15343,62673,320687,4482,7304,110565,7430,34624,164405,4877,7770,107673,7913,28049,156282
Dobong,2021-06-01,9282,15026,217908,15304,62845,320365,4464,7273,110426,7395,34727,164285,4818,7753,107482,7909,28118,156080
Dobong,2021-07-01,9191,14945,217486,15257,63014,319893,4417,7230,110164,7381,34832,164024,4774,7715,107322,7876,28182,155869
Dobong,2021-08-01,9108,14900,216753,15232,63218,319211,4349,7220,109803,7370,34946,163688,4759,7680,106950,7862,28272,155523
Dobong,2021-09-01,9031,14909,216230,15147,63401,318718,4318,7226,109570,7328,35064,163506,4713,7683,106660,7819,28337,155212
Dobong,2021-10-01,8926,14878,215755,15051,63689,318299,4255,7206,109322,7286,35260,163329,4671,7672,106433,7765,28429,154970
Dobong,2021-11-01,8850,14828,215335,15002,63928,317943,4208,7176,109128,7277,35360,163149,4642,7652,106207,7725,28568,154794
Dobong,2021-12-01,8770,14790,214765,14927,64114,317366,4168,7154,108850,7230,35477,162879,4602,7636,105915,7697,28637,154487
Dobong,2022-01-01,8672,14773,214275,14905,64525,317150,4117,7146,108653,7225,35683,162824,4555,7627,105622,7680,28842,154326
Dobong,2022-02-01,8548,14646,213778,14875,64784,316631,4070,7083,108398,7203,35831,162585,4478,7563,105380,7672,28953,154046
Dobong,2022-03-01,8428,14557,213199,14843,65071,316098,4028,7035,108151,7181,35987,162382,4400,7522,105048,7662,29084,153716
Dobong,2022-04-01,8367,14494,212687,14798,65176,315522,4008,6993,107900,7149,36027,162077,4359,7501,104787,7649,29149,153445
Dobong,2022-05-01,8278,14380,212325,14797,65382,315162,3971,6928,107707,7146,36158,161910,4307,7452,104618,7651,29224,153252
Dobong,2022-06-01,8213,14325,211880,14734,65639,314791,3948,6893,107529,7118,36289,161777,4265,7432,104351,7616,29350,153014
Dobong,2022-07-01,8141,14295,211630,14708,65888,314662,3916,6863,107416,7123,36407,161725,4225,7432,104214,7585,29481,152937
Dobong,2022-08-01,8076,14236,210714,14644,66165,313835,3858,6830,106971,7101,36580,161340,4218,7406,103743,7543,29585,152495
Dobong,2022-09-01,7973,14183,209811,14625,66196,312788,3795,6808,106490,7088,36588,160769,4178,7375,103321,7537,29608,152019
Dobong,2022-10-01,7895,14131,209323,14579,66499,312427,3755,6788,106252,7065,36756,160616,4140,7343,103071,7514,29743,151811
Dobong,2022-11-01,7845,14060,208917,14514,66717,312053,3734,6749,106077,7042,36889,160491,4111,7311,102840,7472,29828,151562
Dobong,2022-12-01,7810,14046,208471,14425,66942,311694,3722,6735,105842,6997,37000,160296,4088,7311,102629,7428,29942,151398
Dobong,2023-01-01,7746,13965,207922,14298,67329,311260,3708,6682,105537,6940,37225,160092,4038,7283,102385,7358,30104,151168
Dobong,2023-02-01,7651,13879,207405,14217,67701,310853,3663,6639,105254,6900,37433,159889,3988,7240,102151,7317,30268,150964
Dobong,2023-03-01,7574,13779,206927,14177,68052,310509,3619,6607,104979,6875,37623,159703,3955,7172,101948,7302,30429,150806
Dobong,2023-04-01,7507,13689,206398,14150,68279,310023,3595,6578,104702,6864,37749,159488,3912,7111,101696,7286,30530,150535
Dobong,2023-05-01,7454,13631,205975,14086,68476,309622,3577,6554,104474,6834,37866,159305,3877,7077,101501,7252,30610,150317
Dobong,2023-06-01,7359,13593,205412,13999,68623,308986,3534,6547,104160,6780,37964,158985,3825,7046,101252,7219,30659,150001
Dobong,2023-07-01,7308,13523,204867,13906,68843,308447,3512,6549,103856,6719,38093,158729,3796,6974,101011,7187,30750,149718
Dobong,2023-08-01,7194,13512,204272,13816,69174,307968,3460,6547,103592,6681,38280,158560,3734,6965,100680,7135,30894,149408
Dobong,2023-09-01,7143,13501,203941,13705,69450,307740,3424,6518,103436,6636,38445,158459,3719,6983,100505,7069,31005,149281
Dobong,2023-10-01,7103,13500,203428,13642,69797,307470,3409,6513,103154,6602,38660,158338,3694,6987,100274,7040,31137,149132
Dobong,2023-11-01,7035,13455,202950,13564,70066,307070,3372,6495,102931,6563,38802,158163,3663,6960,100019,7001,31264,148907
Dobong,2023-12-01,6974,13465,202613,13522,70374,306948,3357,6495,102781,6540,38979,158152,3617,6970,99832,6982,31395,148796
Dobong,2024-01-01,6878,13448,202181,13428,70787,306722,3302,6486,102574,6501,39189,158052,3576,6962,99607,6927,31598,148670
Dobong,2024-02-01,6835,13458,201880,13271,71098,306542,3268,6484,102437,6434,39374,157997,3567,6974,99443,6837,31724,148545
Dobong,2024-03-01,6777,13475,201404,13195,71495,306346,3241,6501,102239,6402,39597,157980,3536,6974,99165,6793,31898,148366
Dobong,2024-04-01,6742,13448,200971,13129,71767,306057,3220,6472,102024,6374,39751,157841,3522,6976,98947,6755,32016,148216
Dobong,2024-05-01,6709,13451,200384,13043,72071,305658,3206,6478,101732,6331,39940,157687,3503,6973,98652,6712,32131,147971
Dobong,2024-06-01,6688,13445,199975,13001,72291,305400,3198,6475,101527,6296,40057,157553,3490,6970,98448,6705,32234,147847
Dobong,2024-07-01,6666,13421,199547,12906,72551,305091,3190,6455,101301,6260,40210,157416,3476,6966,98246,6646,32341,147675
Dobong,2024-08-01,6623,13431,198923,12783,72881,304641,3176,6446,100964,6201,40381,157168,3447,6985,97959,6582,32500,147473
Dobong,2024-09-01,6585,13443,198404,12670,73153,304255,3169,6463,100703,6134,40525,156994,3416,6980,97701,6536,32628,147261
Dobong,2024-10-01,6563,13449,197835,12582,73496,303925,3151,6459,100443,6083,40707,156843,3412,6990,97392,6499,32789,147082
Dobong,2024-11-01,6499,13426,197319,12488,73736,303468,3149,6441,100148,6028,40854,156620,3350,6985,97171,6460,32882,146848
Dobong,2024-12-01,6458,13427,196755,12439,74149,303228,3137,6444,99837,6007,41107,156532,3321,6983,96918,6432,33042,146696
Dobong,2025-01-01,6423,13367,196368,12355,74544,303057,3112,6411,99683,5966,41337,156509,3311,6956,96685,6389,33207,146548
Dobong,2025-02-01,6387,13332,195885,12252,74852,302708,3089,6401,99490,5906,41530,156416,3298,6931,96395,6346,33322,146292
Dobong,2025-03-01,6384,13301,195435,12149,75276,302545,3083,6379,99345,5864,41772,156443,3301,6922,96090,6285,33504,146102
Dobong,2025-04-01,6320,13285,194966,12071,75546,302188,3052,6397,99056,5823,41934,156262,3268,6888,95910,6248,33612,145926
Dobong,2025-05-01,6291,13230,194445,11981,75912,301859,3028,6366,98748,5777,42144,156063,3263,6864,95697,6204,33768,145796
