Date,Station Number,Boarding,Line,Total
2021-09-30,150,False,1,925160
2021-10-31,150,False,1,1086858
2021-11-30,150,False,1,1220685
2021-12-31,150,False,1,1147084
2022-01-31,150,False,1,1050138
2022-02-28,150,False,1,860751
2022-03-31,150,False,1,954469
2022-04-30,150,False,1,1154608
2022-05-31,150,False,1,1366534
2022-06-30,150,False,1,1315721
2022-07-31,150,False,1,1339155
2022-08-31,150,False,1,1308695
2022-09-30,150,False,1,1338817
2022-10-31,150,False,1,1496110
2022-11-30,150,False,1,1477161
2022-12-31,150,False,1,1509798
2023-01-31,150,False,1,1340703
2023-02-28,150,False,1,1385252
2023-03-31,150,False,1,1517001
2023-04-30,150,False,1,1482952
2023-05-31,150,False,1,1533878
2023-06-30,150,False,1,1492802
2023-07-31,150,False,1,1493479
2023-08-31,150,False,1,1470932
2023-09-30,150,False,1,1472479
2023-10-31,150,False,1,1554481
2023-11-30,150,False,1,1597874
2023-12-31,150,False,1,1617526
2024-01-31,150,False,1,1522939
2024-02-29,150,False,1,1475670
2024-03-31,150,False,1,1619980
2024-04-30,150,False,1,1611749
2024-05-31,150,False,1,1665088
2024-06-30,150,False,1,1527456
2024-07-31,150,False,1,1570998
2024-08-31,150,False,1,1516824
2024-09-30,150,False,1,1444622
2024-10-31,150,False,1,1628527
2024-11-30,150,False,1,1641558
2024-12-31,150,False,1,1627263
2008-01-31,150,True,1,1792117
2008-02-29,150,True,1,1676868
2008-03-31,150,True,1,1792674
2008-04-30,150,True,1,1735410
2008-05-31,150,True,1,1830758
2008-06-30,150,True,1,1722407
2008-07-31,150,True,1,1733448
2008-08-31,150,True,1,1731001
2008-09-30,150,True,1,1666556
2008-10-31,150,True,1,1782744
2008-11-30,150,True,1,1735360
2008-12-31,150,True,1,1791235
2009-01-31,150,True,1,1678668
2009-02-28,150,True,1,1646132
2009-03-31,150,True,1,1774969
2009-04-30,150,True,1,1757875
2009-05-31,150,True,1,1842435
2009-06-30,150,True,1,1690305
2009-07-31,150,True,1,1735602
2009-08-31,150,True,1,1720391
2009-09-30,150,True,1,1650160
2009-10-31,150,True,1,1751395
2009-11-30,150,True,1,1689680
2009-12-31,150,True,1,1832464
2010-01-31,150,True,1,1820941
2010-02-28,150,True,1,1676753
2010-03-31,150,True,1,1871762
2010-04-30,150,True,1,1826017
2010-05-31,150,True,1,1894391
2010-06-30,150,True,1,1769020
2010-07-31,150,True,1,1805474
2010-08-31,150,True,1,1834004
2010-09-30,150,True,1,1739341
2010-10-31,150,True,1,1982193
2010-11-30,150,True,1,1996060
2010-12-31,150,True,1,2136340
2011-01-31,150,True,1,2121510
2011-02-28,150,True,1,1949169
2011-03-31,150,True,1,2217776
2011-04-30,150,True,1,2184160
2011-05-31,150,True,1,2242552
2011-06-30,150,True,1,2124839
2011-07-31,150,True,1,2138473
2011-08-31,150,True,1,2215367
2011-09-30,150,True,1,2118163
2011-10-31,150,True,1,2296343
2011-11-30,150,True,1,2286985
2011-12-31,150,True,1,2314729
2012-01-31,150,True,1,2130069
2012-02-29,150,True,1,2138101
2012-03-31,150,True,1,2267374
2012-04-30,150,True,1,2173589
2012-05-31,150,True,1,2316186
2012-06-30,150,True,1,2169067
2012-07-31,150,True,1,2161882
2012-08-31,150,True,1,2135061
2012-09-30,150,True,1,2099837
